id;organisation_id;code;designation;reference;validity;remarque
161;3;CAUTO0001;AUTOMATE LOGO SIEMENS;6ED1052-1HB00-0BA4 SIEMENS;1;
162;3;CELEC0015;ELECTRVANNE ENTRE EAU CUVE106.;57647K;1;
163;3;CGALE0014;GALET LATERAL PANIER CUVE106;300071C REP8 PAGE3;1;
164;3;CPIGN0046;PIGNON 15 DENTS TAPIS CUVE 106;323641X OU 41843-0;1;
165;3;CENTR0014;ENTRETOISE POSITIONNEMENT TAPI;300081N OU 41866-0;1;
166;3;CGALE0013;GALET CENTRAL PANIER CUVE106;300138A REP6 PAGE3;1;
167;3;CPIGN0045;PIGNON ENTRAINEMENT TAPIS CUVE;300101K OU 32196-0;1;
168;3;CSUPP0045;SUPPORT ROULEMENT TAPIS CUV106;300082P OU 41853-1;1;
169;3;CARBR0002;ARBRE ENTRAINEMENT VC10;16237Z OU 40239-0;1;
170;3;CGOUP0009;GOUPILLE TETE VC10 5X17mm;40180-0 TAB11B REP4-5;1;
171;3;CGUID0025;GUIDE POUR TETE AGRAFFE VC10;24231N OU Y3200185;1;
172;3;CRESS0083;RESSORT CLAPET VIDE BLOC VC10;Y3200168;1;
173;3;CTAQU0003;TAQUET TETE AGRAF. VC10;08480S OU Y2700075;1;
174;3;CRESS0118;RESSORT TETE AGRAFFE VC10;24108E OU Y3200163;1;
175;3;CVIS.0033;VIS BOUT ROND TETE AGRAF. VC10;24097S OU Y2700060;1;
176;3;CCELL0040;CELLULE PNEUMA.- NON- VC10;81504025 CROUZET Y 5030350;1;
177;3;CJOIN0131;JOINT LEVRE PISTON BLOC VIDE;24145V/29324145V;1;
178;3;CKIT.0031;JOINT VERIN MAGASIN AGRAFFE CKIT;47894J VC10;1;
179;3;CREDU0001;REDUCTEUR DE DEBIT VC10;81526001;1;
180;3;CRESS0102;RESS.DROIT PRE-MACHOIRE VC10;24141Q 40559;1;
181;3;CRESS0103;RESS.GAUCHE PRE-MACHOIRE VC10;Y3200187;1;
182;3;CTORI0122;JOINT TORIQUE TETE AGRAFFE;Y6510293;1;
183;3;CTORI0123;JOINT TORIQUE TETE AGRAF. VC10;Y6510286;1;
184;3;CCOUR0072;ETIQUETEUSE MODELE E150A 140XL;120XL037;1;
185;3;CAMOR0002;AMORTISSEUR VERIN CLOCHE CRYOVAC VC10;24138M TAB9 REP11;1;
186;3;CRELA0021;RELAIS A MEMOIRE PNEUMATIQUE VC10;10627B REF CROUZET 81523601;1;
187;3;CCOUV0003;COUVERCLE VANNE VIDE VC10;Y2700062;1;
188;3;CSUPP0035;SUPPORT GAUCHE TAPIS VC10;44035P 40652;1;
189;3;CEMBA0002;EMBASE/DISTRIBUT.PNEU.VC10;13537P;1;
190;3;CFIN.0005;Fdc PNEU.FESTO VC10;TAB9 REP30 Y5005106;1;
191;3;CSUPP0019;SUPPORT CONVOYEUR SORTIE VC10;40651 TAB10 REP5;1;
192;3;CMODU0001;MODULE DE COMMUT. BP VC10;CROUZET 89543501;1;
193;3;CPOUS0004;POUSSE CLIP TETE VC10;24204J TAB12A REP52;1;
194;3;CDIST0013;DISTRIBUTEUR A TIROIR 5/2 VC10;54101019M EFRAPO;1;
195;3;CGUID0003;GUIDE LATERAL TETE VC10;32015Z 40181-1 TAB11B REP4-2;1;
196;3;CHUBL0002;HUBLOT CLOCHE VC10;24137L TAB9 REP13;1;
197;3;CVERI0031;VERIN DOUBLE EFFET BL19;9667 FESTA;1;
198;3;CCAME0007;CAME TETE AGRAFFE VC10;40554-0;1;
199;3;CTETE0019;TETE OUVRE BOITE 152-54mm;TETE OUVRE BOITE 152-54mm;1;
200;3;CHUBL0003;HUBLOT CLOCHE VC10;24136K    TAB9 REP 14;1;
201;3;CSUPP0018;SUPPORT TEFLON ROULEAU VC10;04593S TAB7 REP2;1;
202;3;CJOIN0141;JOINT EN U DE PISTON TETE VC10;24240Y OU Y6518943;1;
203;3;CBAGU0028;BAGUE LAITON MACHOIRE VC10;24103Z OU Y3200132;1;
204;3;CAXE.0018;AXE FILETE TETE VC10;24100W TAB11B REP36;1;
205;3;CMATR0001;MATRICE Z200 CRYOVAC VC10;24237V OU Y3200045;1;
206;3;CLEVI0007;LEVIER DETECTION CLIP CRYOVAC VC10;24081A OU Y2700064;1;
207;3;CROUL0174;ROULEAU POUR TETE VC10;24096R OU Y3200140;1;
208;3;CPOUS0003;POUSSOIR TETE CRYOVAC VC10 Z200;24233Q TAB11B REP114;1;
209;3;CAXE.0052;AXE POUR TETE VC10;24111H OU 3200129;1;
210;3;CEXEN0002;AXE EXENTRIQUE TETE VC10;24098 T OU Y3200154;1;
211;3;CAXE.0051;AXEPOUR TETE VC10;24118Q OU Y3200128;1;
212;3;CGALE0026;GALET POUR TETE VC10;24099V OU Y3200138;1;
213;3;CALIM0005;ALIMENTATION 12V DC 5A HANDTMANN PVLH;899194 SARMABO;1;
214;3;CTOLE0015;TOLE VF612 ORIFICE DE VIDE HANDTMANN;9000902 VF612/VF616;1;
215;3;CAXE.0069;VIS TENSION COURROIE PAPILLONS;842302 HANDTMANN PVLH;1;
216;3;CBOUT0063;BOUTON TOURNANT REGLAGE VIDE;HANDTMANN 834868;1;
217;3;CJOIN0189;JOINT BOUCHON REGLAGE VIDE;HANDTMANN 822412;1;
218;3;CROND0065;RONDELLE CALAGE;HANDTMANN 830679;1;
219;3;CCELL0147;CELLULE RECEPTEUR SCHMERSAL SLB200-R31-21 ELIONA;SCM101138922;1;
220;3;CCELL0148;CELLULE EMETTEUR SCHMERSAL SLB200-E31-21 ELIONA;SCM101138921;1;
221;3;CINTE0032;CAPTEUR SECURITE SCHMERSAL PORTES ELIONA;MK330-11Y-M20 101163173;1;
222;3;CBRID0008;BRIDE POUR BUSES LAVE INOX;CRETEL / ELIONA  I1350412;1;
223;3;CBUSE0017;BUSE VERTE LAVE INOX;CRETEL / ELIONA  I1350425;1;
224;3;CBUSE0016;BUSE JAUNE LAVE INOX;CRETEL / ELIONA  I1350441;1;
225;3;BOUTON;BOUTON D ARRET D URGENCE ?;;1;
226;3;CCOUR0109;COURROIE DE TRANSPORT PVLH;;1;
227;3;CELEC0060;ELECTROVANNE BURKERT 6213EV G3/8 DN10 LAITON 24VDC EAU PAPILLON HANDTMANN PVLH;00221598/1237590;1;
228;3;CCONE0003;CONE DE SERRAGE PIGNON SYNCHRONE PVLH HANDTMANN BLOC PAPILLON;844186;1;
